rownames,u133,exon
ENSG00000265096,0.17561036723277695,0.10725717392030694
ENSG00000152495,0.001779757115419078,6.741107540078014e-10
ENSG00000198040,0.005370573760112821,0.0015050186519101568
ENSG00000229092,0.0006693360999514365,6.75511811491089e-05
ENSG00000158748,0.6552606094896104,0.3355332894784675
ENSG00000100290,5.945117490567516e-08,4.8041113674895556e-05
ENSG00000197375,0.00430454498769132,0.0006598419178729774
ENSG00000268095,0.1202127504482965,0.004844753215662802
ENSG00000130038,0.5010771936941167,0.02570054718861947
ENSG00000122574,0.8419127109615749,0.16361224561830767
ENSG00000170085,0.24760320441175784,0.821948663390384
ENSG00000125657,0.8504350805317632,0.44985920569241455
ENSG00000186130,0.13881130284057375,0.025291175901109467
ENSG00000158869,0.5394254301739789,0.1667843599583615
ENSG00000197496,0.18924988962418546,2.5828570891790606e-06
ENSG00000105612,7.3322420028899356e-06,9.219692885780706e-09
ENSG00000099940,0.010579530988931234,0.48513256770378654
ENSG00000119285,0.07372139217231573,0.5576938577700465
ENSG00000136783,0.02886382295007384,0.6671110934635983
ENSG00000148290,0.14041561938399857,0.01361853198738176
ENSG00000163534,0.443147799366014,0.002774202133924784
ENSG00000244541,0.0443910516567487,0.2548260924615643
ENSG00000116580,0.7189884629512149,0.4123804361414698
ENSG00000253205,0.5286827930921172,0.7704966782433167
ENSG00000236296,0.42094463683970373,0.18901260352392255
ENSG00000177459,0.7835384184367629,0.5095639142416405
ENSG00000180869,0.31752868530462774,0.018707267204477133
ENSG00000226746,0.920580108551591,0.02413156741250618
ENSG00000206417,0.0049471334674490745,0.08525209665758385
ENSG00000179406,0.4084503138649963,0.4812564485729165
ENSG00000267414,0.05513598293651316,0.18281439125860074
ENSG00000157540,0.010968000490740263,0.00668600323089007
ENSG00000163655,5.882636648965816e-08,1.659469226453442e-05
ENSG00000109332,0.24778121239139006,0.21829092031917957
ENSG00000135862,2.2721052866902727e-06,8.547757749763204e-07
ENSG00000018280,0.376944037691193,0.1935758733093072
ENSG00000172403,0.7047741697739134,0.028237582635744194
ENSG00000174791,0.14095654255048756,0.8643458937253693
ENSG00000102900,1.234134047069038e-07,8.369749851891047e-06
ENSG00000196867,0.0025134923390570598,0.13579628304998587
ENSG00000170748,0.5402543050623722,0.015117042479521847
ENSG00000224405,0.8912507227310285,0.7980503363854513
ENSG00000137817,0.00170729167908911,0.0032121216875753236
ENSG00000095739,0.06346820739266622,0.6615296502780148
ENSG00000148943,0.9770784350156272,0.8812696322331849
ENSG00000078401,0.057111037171395346,0.002965538979652352
ENSG00000112695,0.6002272278881297,0.055864230672378216
ENSG00000133121,0.7952297408116795,0.013290945983265842
ENSG00000125741,0.48220793046825094,0.3635740105869548
ENSG00000011275,4.5151794619488613e-10,0.0008539676030019092
ENSG00000167459,0.18119037780446373,0.09213361745506356
ENSG00000003987,0.017170453282316762,0.12434336752288569
ENSG00000062650,1.6920109437664647e-06,2.1004683573080614e-07
ENSG00000196588,8.109007260378544e-06,0.00023282497222767138
ENSG00000150656,0.19157636498787275,0.12211757092247344
ENSG00000185049,0.5822163550453976,0.4827613202369929
ENSG00000173868,0.6099973869773666,0.5968594780777139
ENSG00000125170,0.8798627728232102,0.1043516717032183
ENSG00000198535,0.6837380727060098,0.5143198593029719
ENSG00000181995,0.2908784420133073,0.11134225973008019
ENSG00000221821,0.8838122349973307,0.09068804128840954
ENSG00000179542,0.23608480220927755,0.07172553722455344
ENSG00000263823,0.7079439699620121,0.6513434256650162
ENSG00000166130,0.21549460446304303,0.07665734054705466
ENSG00000145494,0.016277045438079982,0.0002704515983476036
ENSG00000242797,0.49619240380233953,0.001005618603270408
ENSG00000260253,0.899855224274055,0.15298159644975526
ENSG00000047936,0.7532458135748377,0.0392809425298789
ENSG00000143324,0.5278154151458951,0.21999907944603314
ENSG00000257135,0.4232600318923504,0.8521513105584493
ENSG00000021488,0.12146964320904012,0.34847033264554406
ENSG00000197993,0.35283235184971096,0.018753065785608848
ENSG00000233047,0.10528612610890249,0.1493735519253059
ENSG00000116783,0.7906506602947504,0.9387354189241718
ENSG00000196951,0.07893589807670266,0.038438980005181096
ENSG00000267671,0.06731146050963709,0.34668085764296597
ENSG00000135373,0.8379930210226129,0.4718106053439526
ENSG00000040933,3.5374513520835585e-07,4.550968164235545e-09
ENSG00000107201,3.435015191634742e-07,7.954383295351379e-05
ENSG00000115170,5.997549476969213e-05,2.5337907313179714e-07
ENSG00000084652,0.450818276756352,0.009777119147061144
ENSG00000112787,0.06554013551408194,0.00034407599517668645
ENSG00000160298,0.0009009761796806434,6.912126501341462e-05
ENSG00000132603,0.00013655166704763062,4.676207873129553e-05
ENSG00000088325,5.388236197206798e-13,1.8636380973213515e-11
ENSG00000172660,0.00038574856794940554,3.932210489000833e-05
ENSG00000140740,0.00029757557449392716,0.00047257340129633796
ENSG00000225336,0.04206816069452133,0.2898120193404787
ENSG00000231453,0.6575897890848162,0.238664666603759
ENSG00000163297,3.032319756208095e-08,1.9177582035133555e-07
ENSG00000257550,0.004340934607650675,0.5981709133844985
